comment,sentiment_scores,sentiment,subjectivity,word_count
Bro I am 17. How can I gather experience and knowledge?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,11
Thank you so much for this. Very helpful,"{'neg': 0.0, 'neu': 0.518, 'pos': 0.482, 'compound': 0.6801}",Positive,0.25,8
"Jee,
what about the course that WorldQuant University offers on Data science is it to the standards? The course is free,  can it help one to learn well as a better course material and understand Data science fully","{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.875}",Positive,0.43333333333333335,38
Thank you!,"{'neg': 0.0, 'neu': 0.264, 'pos': 0.736, 'compound': 0.4199}",Positive,0.0,2
I love this man very much....you are  actually making me a better Data Scientist Thanks,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.875}",Positive,0.33999999999999997,16
Thank you Ken. You are a very good  instructor,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.6901}",Positive,0.7800000000000001,9
Thank You so much,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",Positive,0.2,4
"Thank you for this information. I just have one question: 
How and where can I learn Python Programming from scratch? I have no knowledge in it","{'neg': 0.086, 'neu': 0.817, 'pos': 0.097, 'compound': 0.0772}",Positive,0.0,26
Hey man can you recommend a python course and I also have an interest in data science and i have a thing for interactive courses,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.6705}",Positive,0.0,25
"Hello there. Thanks for these videos, actually i have a query i am on my way on the data science course from 365 careers on udemy. They will provide us with completion certificate.. so does it give any value to my resume? And what ppl ask in interviews for freshers plz make a specific video on it if possible 😗as experienced ppl know how industry works...
Bdw it's great to see that you reply to all the comments... Thank you for showing such efforts.god bless you","{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.9325}",Positive,0.5107142857142858,87
"Why do I feel this guy is pretty pretty awesome 
keep up the good work man!","{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.9286}",Positive,0.9,16
thanks for these great recommendations!,"{'neg': 0.0, 'neu': 0.291, 'pos': 0.709, 'compound': 0.807}",Positive,0.475,5
Thanks,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",Positive,0.2,1
"@ ken jee do u recommend all this 3 programs in that order, as in 1st start with kaggle micro courses, then when done move onto google machine learning crash course ,and then when done fast AI, because towards the end of the video u emphasized a lot on kaggle but did not mention the other 2 programs,so do I need to take the three in that order to grow my understanding in beginning data science or any 1 of the three will do,..please kindly elaborate","{'neg': 0.022, 'neu': 0.905, 'pos': 0.073, 'compound': 0.6369}",Positive,0.6583333333333333,87
Hey .. such an informative video.. thanks .. I have a doubt.. do we get certificates after the completion of these courses? Pls check if anyone can help,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.7096}",Positive,0.35,26
"Thank you such, I'm lost and your content is just guiding me","{'neg': 0.155, 'neu': 0.676, 'pos': 0.169, 'compound': 0.0516}",Positive,0.5,13
Thank You So Much From Morocco Keep Going,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",Positive,0.2,8
Thanks for the informative video! I just wanted to know whether octave platform is useful or jupyter notebooks are much effective for data science/ML,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.8478}",Positive,0.3333333333333333,24
Short and sweet!!! Thank u.,"{'neg': 0.0, 'neu': 0.32, 'pos': 0.68, 'compound': 0.7488}",Positive,0.475,5
"Thanks a lot , which master degree would you suggest and university for data science?","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}",Positive,0.2,14
"Good video 👍
 I wonder if it's possible to get a remote internship or job in usa or europe and how to get it","{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4404}",Positive,0.6,25
thank you for your videos!  Very useful content. 🙏,"{'neg': 0.0, 'neu': 0.501, 'pos': 0.499, 'compound': 0.7171}",Positive,0.0,9
I am from digital marketing now  I am migrating to data science is it need to learn statistics??,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,18
Hi Ken-Jee....,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,2
"Sololearn, the course can be downloaded and you can do it on your phone on the way to work","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,19
ken your videos are the best at what they do. thanks,"{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.7964}",Positive,0.25,11
Can you share any small project based on python.,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}",Positive,0.4,9
Thanks !!,"{'neg': 0.0, 'neu': 0.223, 'pos': 0.777, 'compound': 0.5399}",Positive,0.2,1
"There is another free YouTube playlist on AI created by DeepMind, one of the leading AI tech firms globally. People check that out it's really simple and well explained.","{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.7693}",Positive,0.38571428571428573,30
My question is that they gave the certificates???.....and if they giving then what is the value of it??,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.6966}",Positive,0.0,19
you are best,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",Positive,0.3,3
"Thanks sir, best youtube recommendation :)","{'neg': 0.0, 'neu': 0.229, 'pos': 0.771, 'compound': 0.8779}",Positive,0.5,5
Thank You!!!!!....This is my first ever comment on Youtube as well,"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.6973}",Positive,0.3333333333333333,12
What about freecodecamp?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,3
"Sir thank-you so much, These resources are really helpful, and ""Kaggle"" is really amazing,  keep helping us sir !","{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.8733}",Positive,0.43333333333333335,18
"non-technical or non coding guy here looking for career in IT, pls suggest the non technical roles in IT, data science, blockchain etc., pls help, Thanks","{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.7351}",Positive,0.15000000000000002,26
Your video on LSTMs inspired me. Built the same thing with a CNN. Looking forward to learning more on Kaggle now!,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5411}",Positive,0.3125,21
Can u pls tell me where can i get cetificated also in free of cost for data sc course??,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.6072}",Positive,0.8,19
"I've never commented on a YouTube video before, but I just wanted to let future viewers know how great this video is. Great work Ken!","{'neg': 0.0, 'neu': 0.644, 'pos': 0.356, 'compound': 0.9273}",Positive,0.5416666666666666,26
